Feature,Importance
numeric__PAY_0,0.13578059372363746
numeric__MAX_DELAY,0.1292382722021795
numeric__MONTHS_DELAYED,0.1218277718118243
numeric__PAY_2,0.05166939505275819
numeric__AVG_PAYMENT,0.04107451606175308
numeric__UTILISATION,0.03873367128355298
numeric__PAY_3,0.03542285959429865
numeric__LIMIT_BAL,0.03299847368777127
numeric__AVG_BILL,0.032196291859647674
numeric__BILL_AMT1,0.029816375805810414
numeric__PAY_AMT1,0.028718158825784455
numeric__PAY_AMT2,0.027542610278085407
numeric__PAY_4,0.02691606716524273
numeric__PAY_AMT3,0.02423225703170593
numeric__BILL_AMT2,0.024098509690850856
